company_Name,Description,Stock_PE,Face_Value,ROCE(%),ROE(%),Dividend_Yield(%),Market_Capital(Cr.)
HCL Technologies Ltd,"HCL Tech is a leading global IT services company, which is ranked amongst the top five Indian IT services companies in terms of revenues. Since its inception into the global landscape after its IPO in 1999, HCL Tech has focused on transformational outsourcing, and offers an integrated portfolio of services including software-led IT solutions, remote infrastructure management, engineering and R&D services and BPO. ",25.0,2,28.3,23.0,3.38,385394
HDFC Bank Ltd,"The Housing Development Finance Corporation Limited (HDFC) was amongst the first to receive an 'in principle' approval from the Reserve Bank of India (RBI) to set up a bank in the private sector. HDFC Bank is a publicly held banking company, the bank was incorporated in August 1994 in the name of 'HDFC Bank Limited', with its registered office in Mumbai, India.Â ",19.0,1,6.24,17.1,1.12,1283814
HDFC Life Insurance Company Ltd,"The Housing Development Finance Corporation Limited (HDFC) was amongst the first to receive an 'in principle' approval from the Reserve Bank of India (RBI) to set up a bank in the private sector. HDFC Bank is a publicly held banking company, the bank was incorporated in August 1994 in the name of 'HDFC Bank Limited', with its registered office in Mumbai, India.",19.0,1,6.24,17.1,1.12,1283814
Hero MotoCorp Ltd,"Hero MotoCorp Limited is an Indian multinational motorcycle and scooter manufacturer headquartered in Delhi. It is one of the world's largest two-wheeler manufacturer and has a market share of about 46% in the Indian two-wheeler industry. As of 27 May 2021, the market capitalization of the company was ?59,600 crore.",23.6,2,22.7,16.7,2.53,78923
Hindalco Industries Ltd,"Incorporated in 1958, Hindalco Industries Ltd. is a flagship company of the Aditya Birla Group. The Co and its subsidiaries are primarily engaged in the production of Aluminium and Copper.",15.8,1,11.3,11.7,0.51,132676
Hindustan Unilever Ltd,"Hindustan Unilever is in the FMCG business comprising primarily of Home Care, Beauty & Personal Care and Foods & Refreshment segments. The Company has manufacturing facilities across the country and sells primarily in India.",59.0,1,26.6,20.5,1.5,609436
ICICI Bank Ltd,"ICICI Bank is a large private sector bank in India offering a diversified portfolio of financial products and services to retail, SME and corporate customers. The Bank has an extensive network of branches, ATMs and other touch-points.",17.2,2,6.32,17.2,0.81,692328
IndusInd Bank Ltd,"IndusInd Bank Limited was incorporated in 1994 as a commercial bank under the Banking Regulation Act, 1949. The Bank is publicly held and provides a wide range of banking products and financial services to corporate and retail clients besides undertaking treasury operations. The Bank operates in India including at the International Financial Service Centres in India.",15.4,10,6.91,14.4,0.85,128177
Infosys Ltd,"Infosys Ltd provides consulting, technology, outsourcing and next-generation digital services to enable clients to execute strategies for their digital transformation.It is the 2nd largest Information Technology company in India behind TCS.",25.2,5,40.5,31.8,2.25,627754
ITC Ltd,"Established in 1910, ITC is the largest cigarette manufacturer and seller in the country. ITC operates in five business segments at present Â FMCG Cigarettes, FMCG Others, Hotels, Paperboards, Paper and Packaging, and Agri Business.",29.5,1,39.0,29.1,2.68,594276
JSW Steel Ltd,"JSW Steel Limited is an Indian multinational steel producer based in Mumbai and is a flagship company of the JSW Group. After the merger of Bhushan Power & Steel, Ispat Steel and Jindal Vijayanagar Steel Limited, JSW Steel became India's second largest private sector steel company.",23.1,1,8.33,5.64,0.41,204782
Kotak Mahindra Bank Ltd,"Kotak Mahindra Bank is a diversified financial services group providing a wide range of banking and financial services including Retail Banking, Treasury and Corporate Banking, Investment Banking, Stock Broking, Vehicle Finance, Advisory services, Asset Management, Life Insurance and General Insurance.",21.6,5,6.86,14.3,0.08,370317
Larsen & Toubro Ltd,"Larsen & Toubro Ltd is a multinational conglomerate which is primarily engaged in providing engineering, procurement and construction (EPC) solutions in key sectors such as Infrastructure, Hydrocarbon, Power, Process Industries and Defence, Information Technology and Financial Services in domestic and international markets.",39.1,2,11.6,11.7,0.68,476281
LTIMindtree Ltd,"Larsen & Toubro Infotech Ltd offers extensive range of IT services like application development, maintenance and outsourcing, enterprise solutions, infrastructure management services, testing, digital solutions, and platform-based solutions to the clients in diverse industries",39.6,1,37.7,28.6,1.02,175308
Mahindra & Mahindra Ltd,"Mahindra & Mahindra Ltd is one of the most diversified automobile company in India with presence across 2-wheelers, 3-wheelers, PVs, CVs, tractors & earthmovers.",18.9,5,12.7,18.1,0.98,204200
Maruti Suzuki India Ltd,"Maruti Suzuki India Limited is the Indian subsidiary of Japanese automaker Suzuki Motor Corporation. As of September 2022, the company had a leading market share of 42 percent in the Indian passenger car market.",27.6,5,14.5,11.5,0.9,314002
Nestle India Ltd,"Nestle India Limited is the Indian subsidiary of Nestlé which is a Swiss multinational company. The company is headquartered in Gurgaon, Haryana. The company's products include food, beverages, chocolate, and confectioneries.",89.2,10,138.0,108.0,8.16,258033
NTPC Ltd,"NTPC (National Thermal Power Corporation) Ltd along with its subsidiaries/ associates & JVs is primarily involved in generation and sale of bulk power to State power utilities. Other business of the group includes providing consultancy, project management & supervision, energy trading, oil & gas exploration and coal mining.",16.0,10,9.83,12.0,2.3,305833
Oil & Natural Gas Corpn Ltd,"ONGC is the largest crude oil and natural gas Company in India, contributing around 71 per cent to Indian domestic production.",5.83,5,13.9,14.1,5.21,272552
Power Grid Corporation of India Ltd,"Power Grid Corporation of India Limited is a Maharatna CPSU and IndiaÂs largest electric power transmission company. GoI holds a 51.34% stake in the company as on March 31, 2021. PGCIL was incorporated in 1989 to set up extra-high voltage alternating current and high-voltage direct current (HVDC) transmission lines.",14.5,10,13.1,19.6,4.56,223447
Reliance Industries Ltd,"Reliance was founded by Dhirubhai Ambani and is now promoted and managed by his elder son, Mukesh Dhirubhai Ambani. Ambani's family has about 50% shareholding in the conglomerate.",25.8,10,9.14,8.94,0.35,1763103
SBI Life Insurance Company Ltd,SBI Life Insurance Company Ltd is engaged in the business of life insurance and annuity. It was started as a Joint-venture between State Bank of India and BNP Paribas Cardif S.A.,78.6,10,15.5,14.0,0.17,144819
State Bank of India,"State Bank of India is a Fortune 500 company. It is an Indian Multinational, Public Sector banking and financial services statutory body headquartered in Mumbai. It is the largest and oldest bank in India with over 200 years of history.",8.41,1,5.2,16.8,1.74,575281
Sun Pharmaceuticals Industries Ltd,"Sun Pharmaceutical Industries Ltd is engaged in the business of manufacturing, developing and marketing a wide range of branded and generic formulations and Active Pharma Ingredients (APIs). The company and its subsidiaries has various manufacturing facilities spread across the world with trading and other incidental and related activities extending to global market.",34.8,1,16.4,16.6,0.87,311470
Tata Consultancy Services Ltd,"Tata Consultancy Services is the flagship company and a part of Tata group. It is an IT services, consulting and business solutions organization that has been partnering with many of the world's largest businesses in their transformation journeys for over 50 years. TCS offers a consulting-led, cognitive powered, integrated portfolio of business, technology and engineering services and solutions. ",30.4,1,58.7,46.9,1.31,1361533
Tata Consumer Products Ltd,"Tata Consumer Products Ltd. is one of the leading companies of the Tata Group, with presence in the food and beverages business in India and internationally. It is the second largest tea company globally and has significant market presence and leadership in many markets. In addition to South Asia (mainly India), it has presence in various other geographies including Canada, UK, North America, Australia, Europe, Middle East and Africa. ",84.8,1,9.32,6.86,0.75,104797
Tata Motors Ltd,"Tata Motors Group is a leading global automobile manufacturer. Part of the illustrious multi-national conglomerate, the Tata group, it offers a wide and diverse portfolio of cars, sports utility vehicles, trucks, buses and defence vehicles to the world.",18.2,2,5.9,5.62,0.25,291267
Tata Steel Ltd,"Tata Steel Limited is an Indian multinational steel-making company, based in Jamshedpur, Jharkhand and headquartered in Mumbai, Maharashtra. It is a part of the Tata Group.",2722.0,1,12.6,7.28,2.66,165338
Tech Mahindra Ltd,"Tech Mahindra Ltd provides comprehensive range of IT services, including IT enabled service, application development and maintenance, consulting and enterprise business solutions, etc. to a diversified base of corporate customers in a wide range of industries.",34.3,5,22.1,17.6,2.54,122967
Titan Company Ltd,"Titan Company Ltd is among IndiaÂs most respected lifestyle companies. It has established leadership positions in the Watches, Jewellery and Eyewear categories led by its trusted brands and differentiated customer experience. It was founded in 1984 as a joint-venture between TATA Group and Tamilnadu Industrial Development Corporation (TIDCO).",100.0,1,25.1,30.8,0.27,329901
UltraTech Cement Ltd,UltraTech Cement is engaged in the manufacturing and sale of Cement and Cement related product primarily in India.,50.7,10,12.9,9.63,0.37,289026
UPL Ltd,"UPL is principally engaged in the business of agrochemicals, industrial chemicals, chemical intermediates, speciality chemicals and production and sale of field crops and vegetable seeds.",25.7,2,14.3,13.4,1.71,43941
Wipro Ltd,"Wipro Ltd is a global Information technology, consulting and business process services (BPS) company.",20.6,2,17.7,15.9,0.22,239531
